"","county_fips","county_name","state","turnout_rate","totalvotes","CVAP_EST","TOT_EST"
"1","01001","AUTAUGA","ALABAMA",0.613738019169329,24973,40690,55050
"2","01003","BALDWIN","ALABAMA",0.62736377413191,95215,151770,199510
"3","01005","BARBOUR","ALABAMA",0.513815950920245,10469,20375,26615
"4","01007","BIBB","ALABAMA",0.501364411597499,8819,17590,22570
"5","01009","BLOUNT","ALABAMA",0.60306386990337,25588,42430,57705
"6","01011","BULLOCK","ALABAMA",0.574740695546065,4710,8195,10550
"7","01013","BUTLER","ALABAMA",0.566094003241491,8732,15425,20280
"8","01015","CALHOUN","ALABAMA",0.540683422761932,47864,88525,115885
"9","01017","CHAMBERS","ALABAMA",0.524924471299094,13900,26480,34020
"10","01019","CHEROKEE","ALABAMA",0.523433308949037,10733,20505,25895
"11","01021","CHILTON","ALABAMA",0.582126445888132,18369,31555,43815
"12","01023","CHOCTAW","ALABAMA",0.693485496909177,7292,10515,13285
"13","01025","CLARKE","ALABAMA",0.678874706954936,13031,19195,24845
"14","01027","CLAY","ALABAMA",0.639382239382239,6624,10360,13485
"15","01029","CLEBURNE","ALABAMA",0.583709606020363,6593,11295,14990
"16","01031","COFFEE","ALABAMA",0.547147938348044,20767,37955,50990
"17","01033","COLBERT","ALABAMA",0.589913578785368,24915,42235,54375
"18","01035","CONECUH","ALABAMA",0.670229007633588,6585,9825,12695
"19","01037","COOSA","ALABAMA",0.59988577955454,5252,8755,10865
"20","01039","COVINGTON","ALABAMA",0.544120157023383,15940,29295,37730
"21","01041","CRENSHAW","ALABAMA",0.594874228761272,6267,10535,13895
"22","01043","CULLMAN","ALABAMA",0.61457200811359,37873,61625,81315
"23","01045","DALE","ALABAMA",0.501243149311589,18749,37405,49605
"24","01047","DALLAS","ALABAMA",0.613816756491916,18792,30615,41425
"25","01049","DEKALB","ALABAMA",0.52089552238806,25826,49580,70935
"26","01051","ELMORE","ALABAMA",0.606001463771652,37260,61485,80955
"27","01053","ESCAMBIA","ALABAMA",0.506137061029662,14845,29330,37875
"28","01055","ETOWAH","ALABAMA",0.560599136836761,44164,78780,103365
"29","01057","FAYETTE","ALABAMA",0.627061953629799,8249,13155,16785
"30","01059","FRANKLIN","ALABAMA",0.548894460907226,12040,21935,31575
"31","01061","GENEVA","ALABAMA",0.573141603704606,11758,20515,26765
"32","01063","GREENE","ALABAMA",0.739954510993177,4880,6595,8585
"33","01065","HALE","ALABAMA",0.695201037613489,8040,11565,15160
"34","01067","HENRY","ALABAMA",0.605324334458193,8072,13335,17185
"35","01069","HOUSTON","ALABAMA",0.546058782096433,42639,78085,103890
"36","01071","JACKSON","ALABAMA",0.515197643014977,20984,40730,52610
"37","01073","JEFFERSON","ALABAMA",0.619514678777634,304191,491015,659095
"38","01075","LAMAR","ALABAMA",0.635583941605839,6966,10960,14065
"39","01077","LAUDERDALE","ALABAMA",0.543411012579913,39525,72735,92640
"40","01079","LAWRENCE","ALABAMA",0.570455856895557,14829,25995,33435
