"","county_fips","county_name","state","turnout_rate","totalvotes","cvap_est","tot_est"
"1","01001","AUTAUGA","ALABAMA",0.666826749909953,27770,41645,55380
"2","01003","BALDWIN","ALABAMA",0.673352365165608,109679,162885,212830
"3","01005","BARBOUR","ALABAMA",0.533096806893056,10518,19730,25360
"4","01007","BIBB","ALABAMA",0.543318233295583,9595,17660,22495
"5","01009","BLOUNT","ALABAMA",0.645786516853933,27588,42720,57680
"6","01011","BULLOCK","ALABAMA",0.568103448275862,4613,8120,10250
"7","01013","BUTLER","ALABAMA",0.619725669497061,9488,15310,19830
"8","01015","CALHOUN","ALABAMA",0.578005781985148,50983,88205,114620
"9","01017","CHAMBERS","ALABAMA",0.5840275124188,15284,26170,33660
"10","01019","CHEROKEE","ALABAMA",0.597716229348882,12301,20580,25905
"11","01021","CHILTON","ALABAMA",0.597647787062829,19310,32310,44055
"12","01023","CHOCTAW","ALABAMA",0.725717063684978,7464,10285,12925
"13","01025","CLARKE","ALABAMA",0.697742363877822,13135,18825,24130
"14","01027","CLAY","ALABAMA",0.667630057803468,6930,10380,13335
"15","01029","CLEBURNE","ALABAMA",0.634225537516455,7227,11395,14915
"16","01031","COFFEE","ALABAMA",0.579851620460758,22275,38415,51660
"17","01033","COLBERT","ALABAMA",0.654293758798686,27886,42620,54770
"18","01035","CONECUH","ALABAMA",0.659600614439324,6441,9765,12395
"19","01037","COOSA","ALABAMA",0.615272318921954,5479,8905,10755
"20","01039","COVINGTON","ALABAMA",0.603218549922132,17430,28895,37200
"21","01041","CRENSHAW","ALABAMA",0.623363165332077,6617,10615,13845
"22","01043","CULLMAN","ALABAMA",0.664407048737895,41851,62990,82855
"23","01045","DALE","ALABAMA",0.531949871984908,19738,37105,49275
"24","01047","DALLAS","ALABAMA",0.608032675289312,17864,29380,39150
"25","01049","DEKALB","ALABAMA",0.591080237591865,29356,49665,71310
"26","01051","ELMORE","ALABAMA",0.661667472988228,41030,62010,81145
"27","01053","ESCAMBIA","ALABAMA",0.554355400696864,15910,28700,37055
"28","01055","ETOWAH","ALABAMA",0.604343146565369,47728,78975,102750
"29","01057","FAYETTE","ALABAMA",0.675086638428956,8766,12985,16495
"30","01059","FRANKLIN","ALABAMA",0.575652173913043,12578,21850,31465
"31","01061","GENEVA","ALABAMA",0.614047968673519,12545,20430,26415
"32","01063","GREENE","ALABAMA",0.742035742035742,4775,6435,8325
"33","01065","HALE","ALABAMA",0.696342000881446,7900,11345,14810
"34","01067","HENRY","ALABAMA",0.689762611275964,9298,13480,17135
"35","01069","HOUSTON","ALABAMA",0.583397561437867,46173,79145,104700
"36","01071","JACKSON","ALABAMA",0.582957208040449,23636,40545,51850
"37","01073","JEFFERSON","ALABAMA",0.661405431737913,325848,492660,659680
"38","01075","LAMAR","ALABAMA",0.668183929400836,7193,10765,13885
"39","01077","LAUDERDALE","ALABAMA",0.605806804208225,44339,73190,92555
"40","01079","LAWRENCE","ALABAMA",0.62486844669655,16031,25655,33060
"41","01081","LEE","ALABAMA",0.588057613168724,71449,121500,161150
"42","01083","LIMESTONE","ALABAMA",0.690726711560045,49235,71280,94725
"43","01085","LOWNDES","ALABAMA",0.883074935400517,6835,7740,10080
"44","01087","MACON","ALABAMA",0.566060999351071,8723,15410,18710
"45","01089","MADISON","ALABAMA",0.712062882734668,194767,273525,362275
"46","01091","MARENGO","ALABAMA",0.733759676876473,10900,14855,19320
"47","01093","MARION","ALABAMA",0.589161510561127,13807,23435,29865
"48","01095","MARSHALL","ALABAMA",0.595375722543353,39655,66605,95645
"49","01097","MOBILE","ALABAMA",0.588459808520208,183164,311260,414115
"50","01099","MONROE","ALABAMA",0.647330097087379,10668,16480,21270
"51","01101","MONTGOMERY","ALABAMA",0.591133504263312,99139,167710,226940
"52","01103","MORGAN","ALABAMA",0.609680531124099,53722,88115,119215
"53","01105","PERRY","ALABAMA",0.721877156659765,5230,7245,9295
"54","01107","PICKENS","ALABAMA",0.620141116100064,9668,15590,20245
"55","01109","PIKE","ALABAMA",0.535746080898007,13841,25835,33335
"56","01111","RANDOLPH","ALABAMA",0.614516586333995,10837,17635,22645
"57","01113","RUSSELL","ALABAMA",0.499332787077139,21329,42715,57950
"58","01115","ST. CLAIR","ALABAMA",0.660930993456276,44441,67240,87990
"59","01117","SHELBY","ALABAMA",0.735350562947799,114950,156320,213430
"60","01119","SUMTER","ALABAMA",0.62072027627035,6291,10135,12795
"61","01121","TALLADEGA","ALABAMA",0.5717056748958,35663,62380,80385
"62","01123","TALLAPOOSA","ALABAMA",0.661446352607531,20991,31735,40540
"63","01125","TUSCALOOSA","ALABAMA",0.567672888665051,90172,158845,207305
"64","01127","WALKER","ALABAMA",0.631482982171799,31170,49360,64110
"65","01129","WASHINGTON","ALABAMA",0.697798742138365,8876,12720,16540
"66","01131","WILCOX","ALABAMA",0.731474597273854,5903,8070,10680
"67","01133","WINSTON","ALABAMA",0.607646742057081,11284,18570,23785
